knotifications 5.95.0-1
knotifyconfig 5.95.0-1
konsole 22.04.2-1
kpackage 5.95.0-1
kparts 5.95.0-1
kpeople 5.95.0-1
kpmcore 22.04.2-1
kpty 5.95.0-1
kquickcharts 5.95.0-1
krb5 1.19.3-3
kross 5.95.0-1
krunner 5.95.0-1
kscreen 5.25.2-1
kscreenlocker 5.25.2-1
kservice 5.95.0-1
ksshaskpass 5.25.2-1
ksystemstats 5.25.2-1
ktexteditor 5.95.0-1
ktextwidgets 5.95.0-1
kunitconversion 5.95.0-1
kuserfeedback 1.2.0-1
kwallet 5.95.0-1
kwallet-pam 5.25.2-1
kwayland 5.95.0-1
kwayland-integration 5.25.2-1
kwidgetsaddons 5.95.0-1
kwin 5.25.2-1
kwindowsystem 5.95.0-1
kwrite 22.04.2-1
kwrited 5.25.2-1
kxmlgui 5.95.0-1
l-smash 2.14.5-2
lame 3.100-3
lapack 3.10.1-1
layer-shell-qt 5.25.2-1
lcms2 2.13.1-1
ldb 2:2.5.1-1
ldns 1.8.1-1
lensfun 1:0.3.3-1
less 1:590-1
lib32-acl 2.3.1-1
lib32-alsa-lib 1.2.7.1-1
lib32-alsa-plugins 1.2.7.1-1
lib32-at-spi2-atk 2.38.0-2
lib32-at-spi2-core 2.44.1-1
lib32-atk 2.38.0-1
lib32-attr 2.5.1-1
lib32-brotli 1.0.9-4
lib32-bzip2 1.0.8-2
lib32-cairo 1.17.6-2
lib32-colord 1.4.6-1
lib32-curl 7.84.0-1
lib32-dbus 1.14.0-1
lib32-dbus-glib 0.112-2
lib32-e2fsprogs 1.46.5-1
lib32-expat 2.4.8-1
lib32-faudio 22.07-1
lib32-flac 1.3.4-2
lib32-fontconfig 2:2.14.0-1
lib32-freeglut 3.2.2-2
lib32-freetype2 2.12.1-1
lib32-fribidi 1.0.12-1
lib32-gamemode 1.6.1-2
lib32-gcc-libs 12.1.0-2
lib32-gdk-pixbuf2 2.42.8-1
lib32-gettext 0.21-1
lib32-giflib 5.2.1-1
lib32-glew1.10 1.10.0-5
lib32-glib-networking 2.72.1-1
lib32-glib2 2.72.3-1
lib32-glibc 2.35-6
lib32-glu 9.0.2-3
lib32-gmp 6.2.1-1
lib32-gnutls 3.7.6-1
lib32-gst-plugins-base-libs 1.20.3-1
lib32-gstreamer 1.20.3-1
lib32-gtk2 2.24.33-1
lib32-gtk3 3.24.34-1
lib32-harfbuzz 4.4.1-1
lib32-icu 71.1-1
lib32-imlib2 1.9.0-2
lib32-json-glib 1.6.6-2
lib32-keyutils 1.6.3-1
lib32-krb5 1.19.3-2
lib32-lcms2 2.13.1-1
